,Voltage,Current,Registance,Time,Status
0,-1.0,1.315826e-07,9.91e+37,5917.056,21508.0
1,-0.9,-8.134675e-08,9.91e+37,5917.108,21508.0
2,-0.8,7.05905e-08,9.91e+37,5917.16,21508.0
3,-0.7,-3.674788e-08,9.91e+37,5917.212,21508.0
4,-0.6,3.374405e-08,9.91e+37,5917.264,21508.0
5,-0.5,-1.496982e-08,9.91e+37,5917.316,21508.0
6,-0.4,1.054111e-08,9.91e+37,5917.369,21508.0
7,-0.3,5.301779e-09,9.91e+37,5917.422,21508.0
8,-0.2,-1.163079e-08,9.91e+37,5917.474,21508.0
9,-0.1,2.571409e-08,9.91e+37,5917.526,21508.0
10,0.0,-8.895847e-08,9.91e+37,5917.58,21508.0
11,0.1,7.483681e-08,9.91e+37,5917.632,21508.0
12,0.2,-1.165985e-07,9.91e+37,5917.685,21508.0
13,0.3,8.922667e-08,9.91e+37,5917.736,21508.0
14,0.4,-1.432849e-07,9.91e+37,5917.788,21508.0
15,0.5,1.87864e-07,9.91e+37,5917.845,21508.0
16,0.6,-1.211743e-07,9.91e+37,5917.896,21508.0
17,0.7,1.740848e-07,9.91e+37,5917.948,21508.0
18,0.8,-8.650552e-08,9.91e+37,5918.001,21508.0
19,0.9,-1.632054e-07,9.91e+37,5918.06,21508.0
20,1.0,1.827613e-07,9.91e+37,5918.111,21508.0
