,Voltage,Current,Registance,Time,Status
0,-1.0,1.232909e-07,9.91e+37,6298.579,21508.0
1,-0.9,-7.569494e-08,9.91e+37,6298.632,21508.0
2,-0.8,7.921061e-08,9.91e+37,6298.684,21508.0
3,-0.7,-4.107551e-08,9.91e+37,6298.736,21508.0
4,-0.6,4.830512e-08,9.91e+37,6298.788,21508.0
5,-0.5,-2.900011e-08,9.91e+37,6298.84,21508.0
6,-0.4,3.118194e-08,9.91e+37,6298.893,21508.0
7,-0.3,2.408853e-08,9.91e+37,6298.946,21508.0
8,-0.2,-3.917807e-08,9.91e+37,6298.999,21508.0
9,-0.1,5.276924e-08,9.91e+37,6299.052,21508.0
10,0.0,-1.295553e-07,9.91e+37,6299.104,21508.0
11,0.1,1.31248e-07,9.91e+37,6299.158,21508.0
12,0.2,-1.811156e-07,9.91e+37,6299.211,21508.0
13,0.3,1.602491e-07,9.91e+37,6299.263,21508.0
14,0.4,-1.539337e-07,9.91e+37,6299.315,21508.0
15,0.5,-1.356037e-07,9.91e+37,6299.374,21508.0
16,0.6,9.934701e-08,9.91e+37,6299.427,21508.0
17,0.7,-1.75939e-07,9.91e+37,6299.479,21508.0
18,0.8,1.169815e-07,9.91e+37,6299.531,21508.0
19,0.9,-9.969703e-08,9.91e+37,6299.587,21508.0
20,1.0,1.093789e-07,9.91e+37,6299.639,21508.0
