,Voltage,Current,Registance,Time,Status
0,-1.0,3.984992e-08,9.91e+37,5914.366,21508.0
1,-0.9,1.461109e-07,9.91e+37,5914.423,21508.0
2,-0.8,-1.492937e-07,9.91e+37,5914.475,21508.0
3,-0.7,1.817254e-07,9.91e+37,5914.527,21508.0
4,-0.6,-1.323893e-07,9.91e+37,5914.58,21508.0
5,-0.5,1.924268e-07,9.91e+37,5914.633,21508.0
6,-0.4,-1.248879e-07,9.91e+37,5914.685,21508.0
7,-0.3,1.842903e-07,9.91e+37,5914.736,21508.0
8,-0.2,-1.195535e-07,9.91e+37,5914.788,21508.0
9,-0.1,1.709185e-07,9.91e+37,5914.84,21508.0
10,0.0,1.860928e-07,9.91e+37,5914.9,21508.0
11,0.1,-1.18286e-07,9.91e+37,5914.953,21508.0
12,0.2,1.605365e-07,9.91e+37,5915.005,21508.0
13,0.3,-1.000692e-07,9.91e+37,5915.057,21508.0
14,0.4,1.24525e-07,9.91e+37,5915.109,21508.0
15,0.5,-7.031431e-08,9.91e+37,5915.161,21508.0
16,0.6,8.236113e-08,9.91e+37,5915.214,21508.0
17,0.7,-2.306214e-08,9.91e+37,5915.268,21508.0
18,0.8,1.932408e-08,9.91e+37,5915.32,21508.0
19,0.9,-6.444191e-09,9.91e+37,5915.372,21508.0
20,1.0,-1.467554e-09,9.91e+37,5915.424,21508.0
