,Voltage,Current,Registance,Time,Status
0,-1.0,-9.314537e-08,9.91e+37,8109.946,21508.0
1,-0.9,1.242153e-07,9.91e+37,8109.999,21508.0
2,-0.8,-6.921282e-08,9.91e+37,8110.051,21508.0
3,-0.7,2.779351e-08,9.91e+37,8110.104,21508.0
4,-0.6,-9.155456e-09,9.91e+37,8110.155,21508.0
5,-0.5,3.542399e-09,9.91e+37,8110.208,21508.0
6,-0.4,7.790071e-09,9.91e+37,8110.261,21508.0
7,-0.3,-1.511286e-07,9.91e+37,8110.316,21508.0
8,-0.2,1.75881e-07,9.91e+37,8110.369,21508.0
9,-0.1,-1.360575e-07,9.91e+37,8110.422,21508.0
10,0.0,1.875932e-07,9.91e+37,8110.474,21508.0
11,0.1,9.482779e-08,9.91e+37,8110.531,21508.0
12,0.2,-1.544152e-07,9.91e+37,8110.584,21508.0
13,0.3,1.04626e-07,9.91e+37,8110.637,21508.0
14,0.4,-1.750552e-07,9.91e+37,8110.689,21508.0
15,0.5,4.624187e-08,9.91e+37,8110.747,21508.0
16,0.6,-2.504938e-08,9.91e+37,8110.799,21508.0
17,0.7,2.818623e-08,9.91e+37,8110.851,21508.0
18,0.8,-8.485522e-09,9.91e+37,8110.902,21508.0
19,0.9,-1.286219e-07,9.91e+37,8110.961,21508.0
20,1.0,1.846607e-07,9.91e+37,8111.014,21508.0
