,Voltage,Current
0,-1.0,-1.306008e-12
1,-0.9,-7.928061e-13
2,-0.8,-2.118743e-12
3,-0.7,-7.316151e-13
4,-0.6,-5.424248e-13
5,-0.5,-9.107743e-13
6,-0.4,-4.250585e-13
7,-0.3,-1.00868e-12
8,-0.2,-9.699587e-13
9,-0.1,-3.602564e-13
10,-2.22044604925e-16,-6.714182e-14
11,0.1,1.445356e-12
12,0.2,8.699232e-13
13,0.3,1.060263e-12
14,0.4,2.57135e-12
15,0.5,6.74168e-13
16,0.6,2.253448e-12
17,0.7,7.650259e-13
18,0.8,2.253046e-12
19,0.9,2.07795e-12
20,1.0,2.241614e-12
