,Voltage,Current,Registance,Time,Status
0,-1.0,-5.646808e-09,9.91e+37,6301.274,21508.0
1,-0.9,1.586816e-08,9.91e+37,6301.327,21508.0
2,-0.8,-2.487636e-08,9.91e+37,6301.379,21508.0
3,-0.7,1.064156e-07,9.91e+37,6301.437,21508.0
4,-0.6,-5.689355e-08,9.91e+37,6301.491,21508.0
5,-0.5,7.080572e-08,9.91e+37,6301.543,21508.0
6,-0.4,-4.086378e-08,9.91e+37,6301.596,21508.0
7,-0.3,-1.852928e-07,9.91e+37,6301.652,21508.0
8,-0.2,1.156942e-07,9.91e+37,6301.705,21508.0
9,-0.1,-1.936373e-07,9.91e+37,6301.758,21508.0
10,0.0,1.400133e-07,9.91e+37,6301.811,21508.0
11,0.1,-5.41236e-08,9.91e+37,6301.866,21508.0
12,0.2,6.405478e-08,9.91e+37,6301.918,21508.0
13,0.3,-3.773532e-08,9.91e+37,6301.97,21508.0
14,0.4,4.208923e-08,9.91e+37,6302.021,21508.0
15,0.5,1.213521e-07,9.91e+37,6302.078,21508.0
16,0.6,-1.909948e-07,9.91e+37,6302.131,21508.0
17,0.7,1.331109e-07,9.91e+37,6302.184,21508.0
18,0.8,-1.753487e-07,9.91e+37,6302.236,21508.0
19,0.9,5.566838e-08,9.91e+37,6302.291,21508.0
20,1.0,-3.019455e-08,9.91e+37,6302.343,21508.0
