,Voltage,Current,Registance,Time,Status
0,-1.0,-1.815304e-07,9.91e+37,6284.479,21508.0
1,-0.9,1.131821e-07,9.91e+37,6284.531,21508.0
2,-0.8,-1.926613e-07,9.91e+37,6284.583,21508.0
3,-0.7,1.192205e-07,9.91e+37,6284.635,21508.0
4,-0.6,-1.90169e-07,9.91e+37,6284.687,21508.0
5,-0.5,1.373267e-07,9.91e+37,6284.738,21508.0
6,-0.4,-1.783927e-07,9.91e+37,6284.791,21508.0
7,-0.3,1.589155e-07,9.91e+37,6284.843,21508.0
8,-0.2,-1.339489e-07,9.91e+37,6284.896,21508.0
9,-0.1,1.927063e-07,9.91e+37,6284.948,21508.0
10,0.0,1.849892e-07,9.91e+37,6285.009,21508.0
11,0.1,-1.350776e-07,9.91e+37,6285.062,21508.0
12,0.2,1.928395e-07,9.91e+37,6285.114,21508.0
13,0.3,-1.278876e-07,9.91e+37,6285.166,21508.0
14,0.4,1.897934e-07,9.91e+37,6285.218,21508.0
15,0.5,-1.214888e-07,9.91e+37,6285.27,21508.0
16,0.6,8.475131e-08,9.91e+37,6285.323,21508.0
17,0.7,-5.024227e-08,9.91e+37,6285.375,21508.0
18,0.8,4.815368e-08,9.91e+37,6285.427,21508.0
19,0.9,-2.619065e-08,9.91e+37,6285.479,21508.0
20,1.0,-1.355288e-07,9.91e+37,6285.538,21508.0
