,Voltage,Current,Registance,Time,Status
0,-1.0,-5.287449e-09,9.91e+37,6297.235,21508.0
1,-0.9,3.099877e-09,9.91e+37,6297.288,21508.0
2,-0.8,6.897458e-09,9.91e+37,6297.34,21508.0
3,-0.7,-9.674965e-09,9.91e+37,6297.392,21508.0
4,-0.6,1.104335e-07,9.91e+37,6297.445,21508.0
5,-0.5,-1.894805e-07,9.91e+37,6297.498,21508.0
6,-0.4,1.178434e-07,9.91e+37,6297.551,21508.0
7,-0.3,-1.925143e-07,9.91e+37,6297.603,21508.0
8,-0.2,4.571368e-08,9.91e+37,6297.659,21508.0
9,-0.1,-2.593403e-08,9.91e+37,6297.711,21508.0
10,0.0,-6.119996e-08,9.91e+37,6297.771,21508.0
11,0.1,7.657186e-08,9.91e+37,6297.825,21508.0
12,0.2,-4.484758e-08,9.91e+37,6297.877,21508.0
13,0.3,5.338101e-08,9.91e+37,6297.93,21508.0
14,0.4,-3.101785e-08,9.91e+37,6297.982,21508.0
15,0.5,3.596535e-08,9.91e+37,6298.035,21508.0
16,0.6,-9.166611e-09,9.91e+37,6298.088,21508.0
17,0.7,8.505742e-09,9.91e+37,6298.14,21508.0
18,0.8,7.190543e-09,9.91e+37,6298.191,21508.0
19,0.9,-1.265334e-08,9.91e+37,6298.243,21508.0
20,1.0,1.916074e-07,9.91e+37,6298.301,21508.0
