,Voltage,Current,Registance,Time,Status
0,-1.0,-9.130019e-08,9.91e+37,5912.957,21508.0
1,-0.9,-1.895848e-07,9.91e+37,5913.013,21508.0
2,-0.8,1.29504e-07,9.91e+37,5913.065,21508.0
3,-0.7,-1.840327e-07,9.91e+37,5913.118,21508.0
4,-0.6,1.653795e-07,9.91e+37,5913.171,21508.0
5,-0.5,-1.503098e-07,9.91e+37,5913.224,21508.0
6,-0.4,1.772338e-07,9.91e+37,5913.276,21508.0
7,-0.3,-1.35589e-07,9.91e+37,5913.329,21508.0
8,-0.2,1.927843e-07,9.91e+37,5913.382,21508.0
9,-0.1,-1.284832e-07,9.91e+37,5913.435,21508.0
10,0.0,1.648331e-07,9.91e+37,5913.486,21508.0
11,0.1,-1.031559e-07,9.91e+37,5913.539,21508.0
12,0.2,1.294477e-07,9.91e+37,5913.591,21508.0
13,0.3,-7.401351e-08,9.91e+37,5913.643,21508.0
14,0.4,8.684211e-08,9.91e+37,5913.694,21508.0
15,0.5,-4.320942e-08,9.91e+37,5913.746,21508.0
16,0.6,4.980129e-08,9.91e+37,5913.799,21508.0
17,0.7,-2.41965e-08,9.91e+37,5913.851,21508.0
18,0.8,1.383387e-08,9.91e+37,5913.902,21508.0
19,0.9,-1.261601e-10,9.91e+37,5913.954,21508.0
20,1.0,-1.139079e-08,9.91e+37,5914.006,21508.0
