,Voltage,Current,Registance,Time,Status
0,-1.0,5.325243e-08,9.91e+37,6215.342,21508.0
1,-0.9,-8.125678e-08,9.91e+37,6215.396,21508.0
2,-0.8,8.744791e-08,9.91e+37,6215.447,21508.0
3,-0.7,-1.463698e-07,9.91e+37,6215.5,21508.0
4,-0.6,1.083411e-07,9.91e+37,6215.552,21508.0
5,-0.5,-1.83034e-07,9.91e+37,6215.604,21508.0
6,-0.4,1.134314e-07,9.91e+37,6215.657,21508.0
7,-0.3,-1.938007e-07,9.91e+37,6215.71,21508.0
8,-0.2,1.513753e-07,9.91e+37,6215.763,21508.0
9,-0.1,-1.660695e-07,9.91e+37,6215.814,21508.0
10,0.0,-1.863999e-07,9.91e+37,6215.874,21508.0
11,0.1,1.490279e-07,9.91e+37,6215.927,21508.0
12,0.2,-1.630888e-07,9.91e+37,6215.979,21508.0
13,0.3,1.728796e-07,9.91e+37,6216.03,21508.0
14,0.4,-1.392938e-07,9.91e+37,6216.083,21508.0
15,0.5,1.910324e-07,9.91e+37,6216.136,21508.0
16,0.6,-9.387981e-08,9.91e+37,6216.189,21508.0
17,0.7,1.239029e-07,9.91e+37,6216.241,21508.0
18,0.8,-4.873019e-08,9.91e+37,6216.295,21508.0
19,0.9,5.459526e-08,9.91e+37,6216.347,21508.0
20,1.0,1.800082e-07,9.91e+37,6216.404,21508.0
