,Voltage,Current,Registance,Time,Status
0,-1.0,-1.746313e-07,9.91e+37,6088.997,21508.0
1,-0.9,1.640706e-07,9.91e+37,6089.05,21508.0
2,-0.8,-1.377077e-07,9.91e+37,6089.102,21508.0
3,-0.7,1.900311e-07,9.91e+37,6089.153,21508.0
4,-0.6,-1.127115e-07,9.91e+37,6089.206,21508.0
5,-0.5,1.473821e-07,9.91e+37,6089.259,21508.0
6,-0.4,-8.748628e-08,9.91e+37,6089.311,21508.0
7,-0.3,1.040435e-07,9.91e+37,6089.362,21508.0
8,-0.2,1.434622e-07,9.91e+37,6089.42,21508.0
9,-0.1,-1.740615e-07,9.91e+37,6089.472,21508.0
10,0.0,-1.866999e-07,9.91e+37,6089.532,21508.0
11,0.1,1.500182e-07,9.91e+37,6089.585,21508.0
12,0.2,-1.62167e-07,9.91e+37,6089.638,21508.0
13,0.3,1.73971e-07,9.91e+37,6089.689,21508.0
14,0.4,-1.38568e-07,9.91e+37,6089.741,21508.0
15,0.5,1.920013e-07,9.91e+37,6089.794,21508.0
16,0.6,-9.878912e-08,9.91e+37,6089.848,21508.0
17,0.7,1.273956e-07,9.91e+37,6089.899,21508.0
18,0.8,-5.169755e-08,9.91e+37,6089.951,21508.0
19,0.9,5.921611e-08,9.91e+37,6090.003,21508.0
20,1.0,1.764957e-07,9.91e+37,6090.062,21508.0
