,Voltage,Current,Registance,Time,Status
0,-1.0,7.978446e-08,9.91e+37,6183.265,21508.0
1,-0.9,-1.33814e-07,9.91e+37,6183.316,21508.0
2,-0.8,1.04535e-07,9.91e+37,6183.368,21508.0
3,-0.7,-1.759065e-07,9.91e+37,6183.42,21508.0
4,-0.6,1.849939e-07,9.91e+37,6183.474,21508.0
5,-0.5,-1.341496e-07,9.91e+37,6183.525,21508.0
6,-0.4,1.928323e-07,9.91e+37,6183.578,21508.0
7,-0.3,-1.23273e-07,9.91e+37,6183.63,21508.0
8,-0.2,-1.019957e-07,9.91e+37,6183.687,21508.0
9,-0.1,8.429002e-08,9.91e+37,6183.738,21508.0
10,0.0,6.377282e-08,9.91e+37,6183.799,21508.0
11,0.1,-1.054234e-07,9.91e+37,6183.852,21508.0
12,0.2,8.954748e-08,9.91e+37,6183.904,21508.0
13,0.3,-1.602091e-07,9.91e+37,6183.956,21508.0
14,0.4,1.079698e-07,9.91e+37,6184.008,21508.0
15,0.5,-1.861403e-07,9.91e+37,6184.06,21508.0
16,0.6,1.633273e-07,9.91e+37,6184.113,21508.0
17,0.7,-1.522676e-07,9.91e+37,6184.166,21508.0
18,0.8,1.83272e-07,9.91e+37,6184.218,21508.0
19,0.9,-1.349053e-07,9.91e+37,6184.27,21508.0
20,1.0,-1.47561e-07,9.91e+37,6184.328,21508.0
