,Voltage,Current,Registance,Time,Status
0,-1.0,-1.325389e-08,9.91e+37,8108.604,21508.0
1,-0.9,2.255225e-08,9.91e+37,8108.657,21508.0
2,-0.8,-3.305723e-08,9.91e+37,8108.709,21508.0
3,-0.7,4.83709e-08,9.91e+37,8108.762,21508.0
4,-0.6,-9.885436e-08,9.91e+37,8108.813,21508.0
5,-0.5,8.059411e-08,9.91e+37,8108.865,21508.0
6,-0.4,-1.284963e-07,9.91e+37,8108.918,21508.0
7,-0.3,1.195157e-07,9.91e+37,8108.972,21508.0
8,-0.2,-1.890756e-07,9.91e+37,8109.023,21508.0
9,-0.1,1.30652e-07,9.91e+37,8109.075,21508.0
10,0.0,-1.542657e-07,9.91e+37,8109.128,21508.0
11,0.1,1.177535e-07,9.91e+37,8109.184,21508.0
12,0.2,-6.772609e-08,9.91e+37,8109.236,21508.0
13,0.3,8.534771e-08,9.91e+37,8109.289,21508.0
14,0.4,-4.959596e-08,9.91e+37,8109.341,21508.0
15,0.5,-1.909572e-07,9.91e+37,8109.398,21508.0
16,0.6,1.203453e-07,9.91e+37,8109.45,21508.0
17,0.7,-1.886646e-07,9.91e+37,8109.502,21508.0
18,0.8,1.419768e-07,9.91e+37,8109.554,21508.0
19,0.9,-2.931857e-09,9.91e+37,8109.611,21508.0
20,1.0,-6.63131e-09,9.91e+37,8109.663,21508.0
