,Voltage,Current,Registance,Time,Status
0,-1.0,2.872046e-08,9.91e+37,6299.918,21508.0
1,-0.9,-1.279996e-08,9.91e+37,6299.971,21508.0
2,-0.8,1.256323e-08,9.91e+37,6300.023,21508.0
3,-0.7,1.662431e-07,9.91e+37,6300.082,21508.0
4,-0.6,-9.524588e-08,9.91e+37,6300.135,21508.0
5,-0.5,1.247225e-07,9.91e+37,6300.187,21508.0
6,-0.4,-7.512311e-08,9.91e+37,6300.24,21508.0
7,-0.3,-1.567314e-07,9.91e+37,6300.298,21508.0
8,-0.2,1.722034e-07,9.91e+37,6300.35,21508.0
9,-0.1,-1.420959e-07,9.91e+37,6300.401,21508.0
10,0.0,1.913638e-07,9.91e+37,6300.455,21508.0
11,0.1,1.091493e-07,9.91e+37,6300.513,21508.0
12,0.2,-1.87399e-07,9.91e+37,6300.565,21508.0
13,0.3,1.179736e-07,9.91e+37,6300.617,21508.0
14,0.4,-1.926809e-07,9.91e+37,6300.67,21508.0
15,0.5,-3.976988e-08,9.91e+37,6300.729,21508.0
16,0.6,4.848718e-08,9.91e+37,6300.781,21508.0
17,0.7,-6.991345e-08,9.91e+37,6300.834,21508.0
18,0.8,9.370224e-08,9.91e+37,6300.886,21508.0
19,0.9,-9.101082e-08,9.91e+37,6300.943,21508.0
20,1.0,9.357237e-08,9.91e+37,6300.995,21508.0
