,Voltage,Current,Registance,Time,Status
0,-1.0,1.460504e-07,9.91e+37,6067.977,21508.0
1,-0.9,-9.365452e-08,9.91e+37,6068.029,21508.0
2,-0.8,7.192777e-08,9.91e+37,6068.081,21508.0
3,-0.7,-3.878323e-08,9.91e+37,6068.133,21508.0
4,-0.6,-7.882687e-08,9.91e+37,6068.187,21508.0
5,-0.5,7.565579e-08,9.91e+37,6068.238,21508.0
6,-0.4,-1.265669e-07,9.91e+37,6068.291,21508.0
7,-0.3,9.920437e-08,9.91e+37,6068.343,21508.0
8,-0.2,-4.645754e-08,9.91e+37,6068.399,21508.0
9,-0.1,5.169145e-08,9.91e+37,6068.452,21508.0
10,0.0,-6.391042e-09,9.91e+37,6068.506,21508.0
11,0.1,5.7544e-09,9.91e+37,6068.559,21508.0
12,0.2,9.827541e-08,9.91e+37,6068.613,21508.0
13,0.3,-1.624368e-07,9.91e+37,6068.665,21508.0
14,0.4,1.086548e-07,9.91e+37,6068.717,21508.0
15,0.5,-1.871267e-07,9.91e+37,6068.769,21508.0
16,0.6,1.746371e-07,9.91e+37,6068.824,21508.0
17,0.7,-1.093843e-07,9.91e+37,6068.876,21508.0
18,0.8,1.29197e-07,9.91e+37,6068.928,21508.0
19,0.9,-7.710933e-08,9.91e+37,6068.98,21508.0
20,1.0,-1.626912e-07,9.91e+37,6069.038,21508.0
